session,trialno,difficulty,accuracy,period_in_trial,step_reached,durPeriodTotal,FixNb,FixNbInL,FixNbInR,FixNbInT,FixNbNoAOI,FixTotDurInL,FixTotDurInR,FixTotDurInT,FixTotDurInNoAOI,LookNb,LookNbInL,LookNbInR,LookNbInT,LookNbNoAOI,LookTotDurInL,LookTotDurInR,LookTotDurInT,NbSwitches,objL,objR,objT,sideChosen,sideMatch,timePeriodStarts,timePeriodEnds
curE002a,8,Easy,0,exploration,3,11270,20,13,5,2,0,4014,938,850,0,8,5,2,1,0,4404,1076,910,6,V-1-G-1.png,F-4-E-1.png,F-4-E-1.png,left,right,1962,13230
curE002a,8,Easy,0,decision,3,924,2,1,0,1,0,536,0,298,4,1,0,0,1,0,536,0,298,0,V-1-G-1.png,F-4-E-1.png,F-4-E-1.png,left,right,13232,14154
curE002a,8,Easy,0,feedback,3,4536,10,4,1,3,2,1648,458,946,484,5,2,1,2,0,1716,458,1004,2,V-1-G-1.png,F-4-E-1.png,F-4-E-1.png,left,right,NaN,NaN
curE002a,9,Easy,1,exploration,3,2498,6,3,2,1,0,934,534,476,0,2,1,1,0,0,1036,634,532,2,F-1-A-3.png,V-2-H-2.png,F-1-A-3.png,left,left,2024,4520
curE002a,9,Easy,1,decision,3,2182,4,1,0,3,0,470,0,1466,0,1,0,0,1,0,530,0,1644,0,F-1-A-3.png,V-2-H-2.png,F-1-A-3.png,left,left,4522,6702
curE002a,9,Easy,1,feedback,3,5238,12,4,0,2,6,1332,0,378,2278,2,1,0,1,0,1556,0,468,1,F-1-A-3.png,V-2-H-2.png,F-1-A-3.png,left,left,NaN,NaN
curE002a,10,Easy,1,exploration,3,9912,11,3,5,3,0,714,1832,976,0,7,2,4,1,0,754,1904,1094,3,F-4-E-1.png,V-1-G-1.png,V-1-G-1.png,right,right,2046,11956
curE002a,10,Easy,1,decision,3,2914,6,0,2,3,1,0,364,798,158,2,0,1,1,0,0,106,926,1,F-4-E-1.png,V-1-G-1.png,V-1-G-1.png,right,right,11958,14870
curE002a,10,Easy,1,feedback,3,5238,11,0,4,1,6,0,1230,346,2404,2,0,1,1,0,0,1394,346,1,F-4-E-1.png,V-1-G-1.png,V-1-G-1.png,right,right,NaN,NaN
curE002a,11,Medium,1,exploration,3,2328,5,2,1,2,0,550,410,894,0,3,1,1,1,0,584,410,950,2,A-2-F-3.png,A-1-D-1.png,A-1-D-1.png,right,right,2034,4360
