session,trialno,difficulty,accuracy,period_in_trial,step_reached,durPeriodTotal,FixNb,FixNbInL,FixNbInR,FixNbInT,FixNbNoAOI,FixTotDurInL,FixTotDurInR,FixTotDurInT,FixTotDurInNoAOI,LookNb,LookNbInL,LookNbInR,LookNbInT,LookNbNoAOI,LookTotDurInL,LookTotDurInR,LookTotDurInT,NbSwitches,objL,objR,objT,sideChosen,sideMatch,timePeriodStarts,timePeriodEnds
curE002a,8,Easy,0.0,exploration,3,11270,20,13,5,2,0,4014,938,850,0,8,5,2,1,0,4404,1076,910,6,V-1-G-1.png,F-4-E-1.png,F-4-E-1.png,left,right,1962.0,13230.0
curE002a,8,Easy,0.0,decision,3,924,2,1,0,1,0,536,0,298,4,1,0,0,1,0,536,0,298,0,V-1-G-1.png,F-4-E-1.png,F-4-E-1.png,left,right,13232.0,14154.0
curE002a,9,Easy,1.0,exploration,3,2498,6,3,2,1,0,934,534,476,0,2,1,1,0,0,1036,634,532,2,F-1-A-3.png,V-2-H-2.png,F-1-A-3.png,left,left,2024.0,4520.0
curE002a,9,Easy,1.0,decision,3,2182,4,1,0,3,0,470,0,1466,0,1,0,0,1,0,530,0,1644,0,F-1-A-3.png,V-2-H-2.png,F-1-A-3.png,left,left,4522.0,6702.0
curE002a,10,Easy,1.0,exploration,3,9912,11,3,5,3,0,714,1832,976,0,7,2,4,1,0,754,1904,1094,3,F-4-E-1.png,V-1-G-1.png,V-1-G-1.png,right,right,2046.0,11956.0
curE002a,10,Easy,1.0,decision,3,2914,6,0,2,3,1,0,364,798,158,2,0,1,1,0,0,106,926,1,F-4-E-1.png,V-1-G-1.png,V-1-G-1.png,right,right,11958.0,14870.0
curE002a,11,Medium,1.0,exploration,3,2328,5,2,1,2,0,550,410,894,0,3,1,1,1,0,584,410,950,2,A-2-F-3.png,A-1-D-1.png,A-1-D-1.png,right,right,2034.0,4360.0
curE002a,11,Medium,1.0,decision,3,1582,5,0,2,3,0,0,420,646,0,2,0,1,1,0,0,470,830,1,A-2-F-3.png,A-1-D-1.png,A-1-D-1.png,right,right,4362.0,5942.0
curE002a,12,Medium,0.0,exploration,3,14272,23,14,7,2,0,4478,2570,804,0,11,5,5,1,0,4854,2700,890,5,V-1-B-3.png,V-2-H-1.png,V-2-H-1.png,left,right,2052.0,16322.0
curE002a,12,Medium,0.0,decision,3,984,3,2,0,1,0,476,0,406,0,2,1,0,1,0,476,0,406,1,V-1-B-3.png,V-2-H-1.png,V-2-H-1.png,left,right,16324.0,17306.0
curE002a,13,Medium,1.0,exploration,3,13628,20,8,8,4,0,2994,3224,1378,0,11,5,4,2,0,3186,3482,1502,6,A-2-F-2.png,A-1-I-4.png,A-2-F-2.png,left,left,2010.0,15636.0
curE002a,13,Medium,1.0,decision,3,2218,7,2,0,5,0,522,0,1138,0,3,1,0,2,0,576,0,1348,1,A-2-F-2.png,A-1-I-4.png,A-2-F-2.png,left,left,15638.0,17854.0
curE002a,14,Medium,0.0,exploration,3,5326,10,6,3,1,0,2000,950,298,0,6,3,2,1,0,2148,1016,298,3,O-4-H-4.png,O-1-D-2.png,O-1-D-2.png,left,right,1960.0,7284.0
curE002a,14,Medium,0.0,decision,3,1600,3,1,0,2,0,540,0,994,6,1,0,0,1,0,540,0,1054,0,O-4-H-4.png,O-1-D-2.png,O-1-D-2.png,left,right,7286.0,8884.0
curE002a,16,Medium,0.0,exploration,3,2328,6,2,2,2,0,458,488,950,14,4,2,1,1,0,458,542,1004,1,O-4-J-3.png,O-2-H-3.png,O-2-H-3.png,left,right,1956.0,4282.0
curE002a,16,Medium,0.0,decision,3,2150,4,2,0,2,0,342,0,648,0,1,0,0,1,0,446,0,722,0,O-4-J-3.png,O-2-H-3.png,O-2-H-3.png,left,right,4284.0,6432.0
curE002a,19,Medium,0.0,exploration,3,5928,4,3,0,1,0,1340,0,258,0,2,2,0,0,0,1438,0,320,2,V-4-A-4.png,V-3-G-4.png,V-3-G-4.png,left,right,5962.0,11888.0
curE002a,19,Medium,0.0,decision,3,1200,3,1,0,2,0,476,0,432,0,1,0,0,1,0,534,0,534,0,V-4-A-4.png,V-3-G-4.png,V-3-G-4.png,left,right,11890.0,13088.0
curE002a,20,Medium,0.0,exploration,3,3648,10,6,2,2,0,1876,386,638,0,4,2,1,1,0,2040,410,708,3,F-3-H-3.png,F-4-E-2.png,F-3-H-3.png,right,left,2030.0,5676.0
curE002a,20,Medium,0.0,decision,3,5432,10,1,0,8,1,256,0,3170,192,2,1,0,1,0,256,0,3660,1,F-3-H-3.png,F-4-E-2.png,F-3-H-3.png,right,left,5678.0,11108.0
curE002a,21,Easy,1.0,exploration,3,3532,6,1,2,3,0,416,294,1118,0,3,1,1,1,0,416,328,1186,2,O-4-J-3.png,F-2-G-1.png,O-4-J-3.png,left,left,2528.0,6058.0
curE002a,21,Easy,1.0,decision,3,3514,4,2,1,1,0,352,250,118,0,3,1,1,1,0,378,250,118,2,O-4-J-3.png,F-2-G-1.png,O-4-J-3.png,left,left,6060.0,9572.0
curE002a,24,Easy,1.0,exploration,3,3680,8,2,5,1,0,690,1798,478,0,5,2,3,0,0,690,1896,538,3,O-3-H-1.png,A-3-E-2.png,A-3-E-2.png,right,right,2654.0,6468.0
curE002a,24,Easy,1.0,decision,3,2750,7,2,0,5,0,568,0,1520,0,3,1,0,2,0,628,0,1706,1,O-3-H-1.png,A-3-E-2.png,A-3-E-2.png,right,right,6470.0,7750.0
curE002a,25,Easy,1.0,exploration,3,3816,8,2,4,2,0,560,1644,1050,0,4,1,2,1,0,598,1772,1108,2,A-2-F-2.png,V-4-G-3.png,V-4-G-3.png,right,right,2092.0,8822.0
curE002a,25,Easy,1.0,decision,3,1282,3,0,1,2,0,0,528,692,10,1,0,0,1,0,0,528,744,0,A-2-F-2.png,V-4-G-3.png,V-4-G-3.png,right,right,8824.0,12602.0
curE004a,8,Easy,1.0,exploration,3,4210,11,0,7,4,0,0,2404,924,0,5,0,3,2,0,0,2618,1054,1,F-2-G-1.png,V-4-F-1.png,F-2-G-1.png,left,left,4964.0,7292.0
curE004a,8,Easy,1.0,decision,3,5898,14,2,0,12,0,366,0,4580,0,4,2,0,2,0,366,0,5156,2,F-2-G-1.png,V-4-F-1.png,F-2-G-1.png,left,left,7294.0,8492.0
curE004a,9,Easy,1.0,exploration,3,3682,8,7,0,1,0,2584,0,482,0,1,1,0,0,0,2952,0,528,1,V-1-A-4.png,O-1-D-2.png,V-1-A-4.png,left,left,1934.0,6142.0
curE004a,9,Easy,1.0,decision,3,1168,3,1,0,2,0,540,0,564,6,1,0,0,1,0,540,0,622,0,V-1-A-4.png,O-1-D-2.png,V-1-A-4.png,left,left,6144.0,12040.0
curE004a,10,Medium,0.0,exploration,3,10760,15,7,5,2,1,2500,2286,804,210,6,3,2,1,0,2730,2440,874,3,A-2-F-2.png,A-1-C-3.png,A-1-C-3.png,left,right,1962.0,5642.0
curE004a,10,Medium,0.0,decision,3,1784,5,0,2,3,0,0,366,1068,0,2,0,1,1,0,0,478,1200,1,A-2-F-2.png,A-1-C-3.png,A-1-C-3.png,left,right,5644.0,6810.0
curE004a,13,Easy,0.0,exploration,3,5680,15,2,10,2,1,208,3554,260,146,4,1,2,1,0,300,4018,284,3,F-1-A-4.png,O-2-H-3.png,F-1-A-4.png,right,left,2246.0,5440.0
curE004a,13,Easy,0.0,decision,3,634,2,0,1,1,0,0,532,38,6,1,0,0,1,0,0,532,38,0,F-1-A-4.png,O-2-H-3.png,F-1-A-4.png,right,left,5442.0,8956.0
curE004a,14,Easy,1.0,exploration,3,2332,6,4,0,2,0,808,0,454,0,2,1,0,1,0,930,0,486,1,A-3-E-2.png,O-1-D-1.png,O-1-D-1.png,right,right,1762.0,7440.0
